pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
1,691441,"Mena, Cristian",70,1.4,0,0,0,0,0,0.89,0.92,0,1,95.7,14,2659,86.1,87.4,0,1,0,1.3,6.8,98,116,94,108,292,307,282,0.4,-0.4,,
1,642239,"Zastryzny, Rob",119,0.8,1,1,1,2,1.254,0.686,0.706,1,1,109.5,8,2388,85.8,86.1,0,1,0,0.3,6.4,113,153,132,148,303,318,290,-0.2,0.2,77.11574,7.3073
1,680742,"Bowlan, Jonathan",68,1.5,1,0,1,1,0.882,0.87,0.917,1,1,85.8,14,2311,83.6,83.7,0,1,0,0.1,6.6,86,154,121,149,296,321,285,-0.3,0.3,66.14268,6.88019
1,641658,"Hampson, Garrett",13,7.7,0,0,0,0,0,0.385,0.349,0,1,94.7,20,1446,57.8,56.5,0,1,0,-1.3,5,109,153,116,150,301,316,293,0.2,-0.2,66.83893,6.3003
1,656353,"Davidson, Tucker",67,1.5,0,0,0,0,0,0.375,0.377,0,1,82.1,24,1886,89.4,89.7,0,1,0,0.3,6.6,86,154,122,147,298,326,298,0.3,-0.3,67.18293,7.0621
1,664948,"Misiewicz, Anthony",30,3.3,1,0,1,1,0.882,0.863,0.854,1,1,108.5,13,2779,77.6,77.5,0,1,0,-0.1,6.2,108,144,121,152,309,327,283,-1,1,77.50771,7.34209
1,500743,"Rojas, Miguel",14,7.1,1,0,1,1,0.882,0.784,0.837,1,1,79.7,15,1127,45.7,44.7,0,1,0,-1,5.4,115,154,130,149,306,321,292,-0.1,0.1,62.55528,5.61493
1,641401,"Brogdon, Connor",97,1,1,1,1,2,1.254,0.916,0.977,1,1,89.2,14,1908,82.8,83.2,0,1,0,0.4,6.9,132,147,127,153,284,325,288,-2.3,2.3,,
1,657193,"Alvarez, Eddy",13,7.7,1,1,1,2,1.254,0.915,0.683,1,1,106.1,19,1375,57.5,55,0,1,0,-2.5,3.6,130,148,144,154,301,332,293,-0.2,0.2,78.7792,7.87753
1,679845,"Loftin, Nick",8,12.5,1,0,1,1,0.882,0.894,0.946,1,1,83.8,15,1373,59.3,58.3,0,1,0,-1,5.2,125,147,107,152,286,331,309,-0.2,0.2,72.36392,7.35283
1,595978,"Hedges, Austin",20,5,0,0,0,0,0,0.67,0.6,0,1,105.4,16,1427,54.9,53.5,0,1,0,-1.4,4.6,128,146,134,154,302,330,303,0.2,-0.2,77.2143,6.42572
1,573262,"Yastrzemski, Mike",29,3.4,1,0,1,1,0.882,0.863,0.654,1,1,104.5,20,1127,51,49.6,0,1,0,-1.4,5,115,153,133,148,301,318,296,-0.9,0.9,,
1,683618,"Henriquez, Edgardo",59,1.7,1,0,1,1,0.882,0.584,0.517,1,1,104.2,17,2520,99.2,99.7,0,1,0,0.5,6.6,119,154,131,150,303,310,288,-0.3,0.3,70.43169,7.06047
1,668874,"Henley, Blair",39,2.6,1,0,1,1,0.882,0.638,0.68,1,1,83.3,21,2007,91.4,92.1,0,1,0,0.7,6.7,113,139,117,142,293,323,293,-0.7,0.7,69.54663,7.07555
25339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
