pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,686654,"Adcock, Ty",86,2.3,0,0,0,0,0,0.429,0.468,0,2,69.6,16.5,2138,92.2,92.2,0,2,0,0,6.25,97,150,128,150,296,326,288,0.5,-0.5,67.53946,7.329525
2,686796,"Walston, Blake",343,0.6,0.5,0,0.5,0.5,0.441,0.41,0.431,1,2,88.2,4.5,2078,89.3,88.7,0,2,0,-0.6,6.05,87,141,123,144,302,318,294,-0.1,0.1,75.82821,6.613715
2,675989,"Bolton, Cody",312,0.6,0,0,0,0,0,0.55,0.607,0,2,72.8,16.5,2415,91.4,91.3,0,2,0,-0.1,6.05,118,150,131,150,294,321,293,0.4,-0.4,76.08425,7.10688
2,606965,"Devenski, Chris",533,0.4,0,0,0,0,0,0.446,0.483,0,2,89.7,9.5,2116,91.9,92.55,0,2,0,0.6,6.4,87,120,103,134,288,322,303,0.7,-0.7,67.55932,5.69682
2,670766,"McCaughan, Darren",714,0.3,0,0,0,0,0,0.553,0.602,0,2,85.7,11.5,1996,83,83.6,0,2,0,0.7,6.6,121,149,120,152,300,315,296,0.5,-0.5,66.99812,8.33988
2,656420,"Feyereisen, J.P.",179,1.1,0,0,0,0,0,0.679,0.714,0,2,101.5,9,2053,89.5,88.85,0,2,0,-0.6,5.95,118,154,127,148,298,312,286,0.4,-0.4,73.868365,7.2587
2,685107,"Veneziano, Anthony",242,0.8,0,0,0,0,0,0.691,0.734,0,2,105.5,8,2377,81.7,81.5,0,2,0,-0.2,6.25,112,153,126,148,307,322,285,0.7,-0.7,73.076405,7.679855
2,670124,"Oller, Adam",710,0.3,0,0,0,0,0,0.492,0.52,0,2,85.1,9.5,2298,90.7,90.4,0,2,0,-0.3,6.5,110,153,126,148,302,329,294,0.6,-0.6,73.322865,7.37062
2,669211,"Akin, Keegan",1241,0.2,0,0,0,0,0,0.587,0.639,0,2,92.1,10.5,2507,91.1,90.75,0,2,0,-0.3,5.75,106,146,128,151,303,328,304,0.5,-0.5,74.398745,7.18828
2,676661,"Lazar, Max",214,0.9,0,0,0,0,0,0.816,0.823,0,2,106.1,9.5,2258,91.2,92.65,0,2,0,1.5,6.95,115,151,126,150,297,333,300,0,0,72.04597,6.594585
